sumact,max,stdev,fivecount,log,state
4071.66666667,924.333333333,265.801394807,5,6.46806014114,-1
3627.66666667,924.333333333,240.773450566,4,4.16406758837,-1
3041.66666667,924.333333333,217.780715886,3,3.59026716544,-1
3086.66666667,924.333333333,221.541154346,3,5.52900882502,-1
2670.66666667,924.333333333,209.150786092,2,4.90533401728,-1
1782.66666667,416.333333333,102.642114669,1,4.32022831913,-1
1350.66666667,281.666666667,70.3615643335,0,5.14313472639,-1
1466.0,281.666666667,76.9012043995,0,5.58156032035,-1
1508.66666667,281.666666667,77.1096347235,0,4.95124371858,-1
1506.0,281.666666667,76.9846511192,0,4.4657359028,-1
1444.33333333,281.666666667,77.265008131,0,3.97892515524,-1
1395.66666667,281.666666667,78.1675178483,0,4.41224721785,-1
1192.0,281.666666667,67.9225983387,0,4.55534806149,-1
941.0,209.333333333,44.4221630656,0,1.0,-1
929.666666667,209.333333333,44.9294037658,0,3.87167962489,-1
857.333333333,209.333333333,43.7817337669,0,3.66258782702,-1
817.666666666,209.333333333,44.2084229088,0,3.97892515524,-1
618.333333333,97.6666666667,21.0275832957,0,6.3439278778,-1
755.0,209.333333333,44.3843422984,0,4.14988295338,-1
654.0,209.333333333,42.2002595342,0,4.75341797525,-1
645.0,209.333333333,42.0141888353,0,3.99573227355,-1
626.666666666,209.333333333,42.1487602358,0,4.16406758837,-1
612.0,209.333333333,42.1299011561,0,4.63758615973,-1
616.0,209.333333333,42.2257162296,0,3.96183072188,-1
621.666666666,209.333333333,42.2902167629,0,3.97892515524,-1
736.666666666,209.333333333,45.3030419338,0,3.83321334406,-1
742.333333333,209.333333333,45.199247313,0,3.73002910782,-1
737.999999999,209.333333333,45.2940481039,0,3.8903717579,-1
774.666666666,209.333333333,45.1908709233,0,3.61495977804,-1
610.333333333,112.333333333,22.3978220785,0,3.77258872224,-1
594.333333333,112.333333333,22.7874002129,0,4.0122615755,-1
736.999999999,182.333333333,40.5454673253,0,3.85263142991,-1
